REGIONC,DIVISION,state_name,BA_climate,TYPEHUQ,YEARMADERANGE,WALLTYPE,SWIMPOOL,RECBATH,FUELTUB,RANGEFUEL,OUTGRILLFUEL,DWASHUSE,DRYRFUEL,EQUIPM,FUELHEAT,FUELH2O,MONEYPY,CARBFTP
0,0,22,0,2,6,2,0,1,5,-2,1,3,1,3,1,1,16,100.0
2,1,24,2,2,6,1,0,1,-2,1,2,3,5,3,1,1,10,[62.75510865]
1,2,38,5,2,8,3,0,1,-2,1,-2,4,5,3,1,1,16,[70.61331171]
2,7,40,5,2,6,3,1,0,-2,5,23,20,5,3,5,5,15,[69.33461954]
1,2,32,0,2,1,3,1,1,-2,5,23,4,5,3,3,3,14,[93.34557936]
2,7,33,2,2,8,3,0,1,5,5,2,4,5,4,5,5,13,[82.27758903]
1,2,32,0,2,3,3,1,0,-2,1,1,5,1,3,1,5,16,100.0
2,7,10,5,2,5,1,1,0,-2,-2,-2,6,5,4,5,1,16,100.0
2,7,20,5,3,7,1,0,1,-2,5,-2,2,5,3,1,5,14,100.0
3,4,28,1,2,4,4,1,1,1,-2,2,0,5,3,1,1,13,[81.90589584]
2,7,9,2,2,8,7,1,1,5,5,2,4,5,3,5,5,15,[93.50631385]
1,5,29,0,2,2,3,0,1,5,5,2,3,5,3,3,5,15,100.0
2,7,40,5,2,4,1,1,0,-2,5,2,2,5,4,5,1,15,100.0
3,4,2,1,2,9,4,1,0,-2,-2,2,3,5,3,1,1,13,[52.19182477]
2,1,42,5,2,8,4,1,1,1,1,1,7,5,4,5,1,16,100.0
3,4,2,1,2,6,4,1,1,1,-2,2,2,1,3,5,1,16,100.0
3,6,4,3,2,5,4,1,1,5,5,1,1,5,3,1,1,16,[69.5199639]
3,6,37,3,2,4,2,0,1,5,5,23,3,5,4,5,5,9,[60.15719114]
1,5,6,0,2,7,3,1,0,-2,5,1,3,1,3,1,1,16,[96.1831237]
3,6,4,3,3,7,3,1,0,-2,5,23,2,5,3,1,1,12,[54.08093329]
0,0,22,0,2,7,3,1,0,-2,1,23,4,1,3,1,1,13,[40.2399776]
1,2,38,5,2,3,3,1,0,-2,1,1,7,5,3,1,1,16,[78.40204987]
0,0,49,0,2,4,2,1,0,-2,5,2,-2,5,3,1,5,12,[93.09621011]
2,9,43,2,2,7,4,1,1,1,-2,2,7,1,3,1,1,16,[93.52034858]
2,9,18,2,2,6,1,1,0,-2,5,23,7,5,4,5,5,13,[82.02188055]
2,9,43,2,2,9,1,1,0,-2,5,-2,7,5,3,1,1,12,[72.03300409]
1,5,21,0,2,2,3,1,0,-2,5,2,0,1,3,1,1,13,[83.42701883]
3,3,26,0,2,9,3,0,1,2,2,2,7,2,3,2,2,14,[91.52810103]
2,9,43,2,2,5,1,1,0,-2,1,23,-2,5,3,1,1,10,[42.9585103]
2,9,3,5,2,5,3,1,0,-2,1,2,5,5,3,1,1,15,[74.89686868]
3,6,4,1,2,7,4,0,1,-2,1,2,7,1,-2,-2,1,15,[68.91168744]
2,9,43,5,2,7,1,1,0,-2,5,23,7,5,3,1,1,16,[74.67176241]
2,7,48,0,2,5,3,1,0,-2,5,2,0,5,8,7,5,2,[10.41815412]
2,1,0,5,3,5,3,1,0,-2,5,-2,2,5,3,5,5,11,[80.92943434]
2,1,42,5,2,1,3,0,1,5,1,23,5,5,3,1,1,16,100.0
1,5,6,0,2,6,1,1,0,-2,-2,2,3,5,3,1,1,16,100.0
2,1,17,5,5,4,7,-2,1,5,1,-2,-2,-2,3,1,1,3,[11.44841467]
2,9,43,2,2,4,3,0,1,-2,5,23,1,5,5,5,5,12,[81.92211875]
3,4,28,1,3,7,4,1,0,-2,1,-2,0,1,3,1,1,11,[42.53079431]
0,8,23,0,2,1,3,0,1,-2,1,23,4,1,3,1,1,15,[89.06491245]
0,8,23,0,2,2,2,0,1,5,5,2,5,5,3,1,5,15,[96.31016986]
1,2,32,0,2,3,3,0,1,-2,5,-2,1,5,3,1,1,16,100.0
2,1,42,5,2,7,1,1,0,-2,5,2,1,5,3,5,5,16,100.0
3,6,47,3,2,5,2,0,1,5,-2,-2,2,5,3,1,1,13,[74.2440229]
3,3,26,0,2,3,1,0,1,5,5,2,3,5,3,1,1,16,[84.21440797]
2,9,18,2,2,2,7,1,0,-2,1,1,2,5,3,1,1,13,[51.55634332]
3,3,44,0,2,8,1,1,0,-2,1,2,3,5,3,1,1,11,[77.53904778]
2,1,0,5,1,6,3,0,1,5,5,23,0,5,4,5,5,7,[48.24269468]
2,9,43,2,2,7,3,0,1,-2,1,-2,1,5,3,1,1,15,[69.25271473]
0,0,35,0,2,4,1,0,1,5,5,2,4,5,3,2,5,15,100.0
2,9,18,2,2,8,3,1,0,-2,2,2,5,5,4,5,2,16,100.0
0,0,14,5,3,4,6,1,0,-2,1,-2,0,-2,3,1,1,14,[55.08329427]
1,2,32,0,2,7,3,1,0,-2,1,2,14,5,7,1,5,16,[93.49846148]
1,5,21,0,2,3,3,1,0,-2,5,2,2,5,8,7,5,13,100.0
1,2,30,5,2,2,3,0,1,1,1,2,7,5,2,3,1,16,100.0
3,6,47,3,2,4,2,0,1,5,1,-2,1,1,3,1,1,14,[89.03229312]
2,1,17,5,2,6,3,0,1,5,5,2,0,5,4,5,5,12,[67.45380877]
1,5,45,0,2,2,2,0,1,-2,-2,-2,0,5,3,3,5,16,100.0
1,2,38,0,2,2,3,1,0,-2,1,23,0,5,3,1,1,7,[65.06676766]
2,7,40,2,2,8,3,0,1,-2,5,2,3,5,3,1,1,15,[68.72612684]
3,4,2,1,2,7,4,1,1,1,5,1,2,5,7,1,5,16,100.0
1,2,32,0,2,1,3,1,0,-2,2,2,7,2,3,2,2,14,100.0
2,7,9,2,2,6,4,1,1,99,5,2,3,5,3,5,5,16,100.0
0,8,15,0,3,4,2,0,1,5,5,23,6,5,3,1,1,15,[80.6286671]
3,6,4,1,2,6,4,1,1,-2,-2,2,2,1,3,1,1,16,[92.45073757]
0,0,49,0,2,5,3,1,0,-2,5,2,3,5,3,1,1,15,[92.27066246]
0,8,34,7,2,9,3,0,1,5,2,2,5,5,7,2,5,16,100.0
3,6,47,3,2,7,3,0,1,-2,5,23,0,5,5,5,5,10,[70.96365957]
3,3,50,0,2,3,3,0,1,5,5,23,3,5,3,1,1,14,[80.47305124]
2,9,43,2,2,6,1,1,0,-2,-2,2,2,5,3,1,1,15,100.0
0,0,13,0,2,7,3,0,1,5,1,23,9,5,3,1,1,16,[92.33808015]
0,8,27,0,2,7,3,1,1,5,5,-2,8,5,3,1,1,15,[85.96664012]
1,2,32,0,2,1,3,1,0,-2,1,2,0,1,3,1,1,12,[93.01039098]
3,6,11,2,2,3,7,1,1,5,-2,2,2,5,-2,-2,5,16,100.0
2,7,46,5,2,9,2,0,1,5,-2,2,0,5,4,5,5,14,[96.83386995]
1,2,38,0,2,3,3,1,1,5,1,2,20,1,3,1,1,15,100.0
1,5,21,0,2,2,2,1,0,-2,5,2,7,5,5,5,5,16,100.0
1,2,32,0,2,3,3,1,0,-2,5,2,0,5,3,1,1,14,100.0
2,7,9,2,2,7,7,0,1,5,5,23,2,5,3,5,5,10,[60.07710232]
